dataset,model,algo,gflops,ratio,txt_r1,txt_r5,txt_r10,img_r1,img_r5,img_r10,r_sum,train time,eval time,setting
flickr,BLIP,pitome,41.60941535232,0.925,94.6,99.1,99.9,83.84,96.66,98.36,573.46,0,48.1366240978241,pitome
flickr,BLIP,pitome,48.12842176512,0.95,95.8,99.7,100.0,86.28,97.32,98.72,577.8199999999999,0,56.14332914352417,pitome
flickr,BLIP,pitome,51.92102572032,0.9625,96.4,99.5,100.0,86.88,97.62,98.8,579.1999999999999,0,60.256752014160156,pitome
flickr,BLIP,pitome,56.01276997632,0.975,96.5,99.8,100.0,87.42,97.56,98.82,580.1,0,64.09631848335266,pitome
flickr,BLIP,pitome,41.60941535232,0.925,94.7,99.0,99.9,83.92,96.74,98.34,572.6,0,47.63028526306152,pitome w/o step 2
flickr,BLIP,pitome,48.12842176512,0.95,95.9,99.7,100.0,86.02,97.3,98.62,577.54,0,55.96012854576111,pitome w/o step 2
flickr,BLIP,pitome,51.92102572032,0.9625,96.4,99.5,100.0,86.86,97.5,98.82,579.0799999999999,0,60.35303783416748,pitome w/o step 2
flickr,BLIP,pitome,56.01276997632,0.975,96.5,99.8,100.0,87.42,97.56,98.82,580.1,0,64.08144545555115,pitome w/o step 2
flickr,BLIP,pitome,41.60941535232,0.925,94.8,99.2,99.8,84.1,96.88,98.38,573.16,0,47.806159019470215,pitome BSM 
flickr,BLIP,pitome,48.12842176512,0.95,95.8,99.7,100.0,86.22,97.28,98.7,577.7,0,55.8148455619812,pitome BSM
flickr,BLIP,pitome,51.92102572032,0.9625,96.3,99.5,100.0,86.86,97.48,98.78,578.9200000000001,0,60.11968994140625,pitome BSM
flickr,BLIP,pitome,56.01276997632,0.975,96.4,99.8,100.0,87.42,97.54,98.82,579.98,0,64.61936259269714,pitome BSM
