dataset,model,algo,gflops,ratio,acc,eval time,train time,margin
imdb,bert-base-uncased,pitome,7.769633378764022,0.505,82.88573256557902,43.758554458618164,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,7.760644731823523,0.505,82.3356525911708,43.398149251937866,0,$m=0.9$
imdb,bert-base-uncased,pitome,7.776982189451162,0.505,71.32797504798462,43.390761375427246,0,$m=0.45$
imdb,bert-base-uncased,pitome,7.77272484852218,0.505,65.42794305822125,43.22391152381897,0,$m=0.0$
imdb,bert-base-uncased,pitome,7.768487879493387,0.505,61.03587651951374,43.02050995826721,0,$m=-1.0$
imdb,bert-base-uncased,pitome,8.510257800598689,0.525,83.75738963531658,43.09754991531372,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,8.515526436852047,0.525,83.13320537428017,43.117318630218506,0,$m=0.9$
imdb,bert-base-uncased,pitome,8.507434013481607,0.525,77.66954574536159,43.33703017234802,0,$m=0.45$
imdb,bert-base-uncased,pitome,8.512897276560299,0.525,72.04142674344214,43.384657859802246,0,$m=0.0$
imdb,bert-base-uncased,pitome,8.517557929519995,0.525,68.84349008317345,43.42677140235901,0,$m=-1.0$
imdb,bert-base-uncased,pitome,9.52576681667571,0.55,85.39499360204739,43.91282367706299,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,9.528227369274557,0.55,85.08877159309024,43.669798135757446,0,$m=0.9$
imdb,bert-base-uncased,pitome,9.534086436852295,0.55,84.49896033269361,43.793824195861816,0,$m=0.45$
imdb,bert-base-uncased,pitome,9.522825880813908,0.55,82.62092130518242,43.77837777137756,0,$m=0.0$
imdb,bert-base-uncased,pitome,9.526027109712182,0.55,76.44497760716575,43.75794553756714,0,$m=-1.0$
imdb,bert-base-uncased,pitome,11.794344023953874,0.6,87.87420025591815,45.46644306182861,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,11.787806153458677,0.6,87.28806781829798,45.66540813446045,0,$m=0.9$
imdb,bert-base-uncased,pitome,11.791577763132384,0.6,86.86020473448498,45.669456243515015,0,$m=0.45$
imdb,bert-base-uncased,pitome,11.79030712113622,0.6,85.60828534868843,45.72471833229065,0,$m=0.0$
imdb,bert-base-uncased,pitome,11.779082248353115,0.6,84.54230646193217,45.71554899215698,0,$m=-1.0$
imdb,bert-base-uncased,pitome,13.050297532191633,0.625,88.94785668586053,46.7763192653656,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,13.042419758187796,0.625,88.47368841970548,89.26151704788208,0,$m=0.9$
imdb,bert-base-uncased,pitome,13.036651516560156,0.625,87.87188099808048,46.73032593727112,0,$m=0.45$
imdb,bert-base-uncased,pitome,13.054638358111026,0.625,87.89987204094683,76.16265559196472,0,$m=0.0$
imdb,bert-base-uncased,pitome,13.04275177888645,0.625,86.46001279590519,46.71858096122742,0,$m=-1.0$
imdb,bert-base-uncased,pitome,17.55049770453756,0.7,90.29910428662835,53.229159355163574,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,17.553572293036595,0.7,90.45905310300702,53.114115476608276,0,$m=0.9$
imdb,bert-base-uncased,pitome,17.586969591155604,0.7,90.15714971209196,53.37546896934509,0,$m=0.45$
imdb,bert-base-uncased,pitome,17.586201193151773,0.7,89.96121241202812,53.08823323249817,0,$m=0.0$
imdb,bert-base-uncased,pitome,17.56964549233027,0.7,89.74328214971206,57.96721649169922,0,$m=-1.0$
imdb,bert-base-uncased,pitome,21.149423030787368,0.75,91.2908189379398,59.134456396102905,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,21.136376756821907,0.75,91.23880358285346,59.067822217941284,0,$m=0.9$
imdb,bert-base-uncased,pitome,21.143391141098306,0.75,91.01087651951391,59.14433217048645,0,$m=0.45$
imdb,bert-base-uncased,pitome,21.168983121075264,0.75,90.72496801023676,59.255016803741455,0,$m=0.0$
imdb,bert-base-uncased,pitome,21.140085044084863,0.75,90.55302303262962,59.086570501327515,0,$m=-1.0$
imdb,bert-base-uncased,pitome,25.36553677487851,0.8,91.70465451055674,65.75605797767639,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,25.36161630292457,0.8,91.63667626359569,65.7456202507019,0,$m=0.9$
imdb,bert-base-uncased,pitome,25.31486889176142,0.8,91.40475047984633,65.40588164329529,0,$m=0.45$
imdb,bert-base-uncased,pitome,25.342012871492713,0.8,91.51071657069753,65.4769504070282,0,$m=0.0$
imdb,bert-base-uncased,pitome,25.317159977273903,0.8,91.33277351247614,65.34306263923645,0,$m=-1.0$
imdb,bert-base-uncased,pitome,30.03616936242597,0.85,92.1005598208574,74.40735077857971,0,$m=0.9-l_i/l*0.9$
imdb,bert-base-uncased,pitome,30.064923670111188,0.85,92.06653870761362,117.83612728118896,0,$m=0.9$
imdb,bert-base-uncased,pitome,30.040441168583353,0.85,91.81062060140766,74.41363048553467,0,$m=0.45$
imdb,bert-base-uncased,pitome,30.031001338594866,0.85,91.93658029430576,74.45596361160278,0,$m=0.0$
imdb,bert-base-uncased,pitome,30.06968331989237,0.85,91.7886276391555,132.93074893951416,0,$m=-1.0$
