,test/r1_i2t,test/r5_i2t,test/r10_i2t,test/r_i2t,test/r1_t2i,test/r5_t2i,test/r10_t2i,test/r_t2i,test/r_all,eval memory,gflops,sample/sec,algo,model,epoch
0,76.4,92.6,96.0,265.0,57.7,81.42,88.1,227.22,492.22,0.6095600676818952,10.496008704,90.76398803984402,PiToMe,CLIP_B,
0,79.3,95.6,98.3,273.2,60.48,84.7,90.82,236.0,509.2,0.6903553299492384,11.913403392,100.53067914505358,PiToMe,CLIP_B,
0,81.5,96.6,98.3,276.4,61.38,85.36,91.36,238.10000000000002,514.5,0.7791878172588832,13.48366848,99.62045788932328,PiToMe,CLIP_B,
0,81.9,96.5,98.9,277.3,62.02,85.66,91.86,239.54000000000002,516.84,0.8887478849407786,15.439108608,96.19923366831894,PiToMe,CLIP_B,
0,69.7,90.8,94.8,255.3,53.36,78.86,85.76,217.98000000000002,473.28000000000003,0.6095600676818952,10.496008704,104.28696259805595,ToMe,CLIP_B,
0,74.9,94.4,97.0,266.3,57.06,82.82,89.46,229.33999999999997,495.64,0.6903553299492384,11.913403392,101.7913320697141,ToMe,CLIP_B,
0,76.9,95.3,97.5,269.7,58.48,83.66,90.1,232.23999999999998,501.94000000000005,0.7791878172588832,13.48366848,98.07444985425636,ToMe,CLIP_B,
0,79.5,95.1,97.6,272.2,59.52,83.64,90.58,233.74,505.93999999999994,0.8887478849407786,15.439108608,96.36958609735348,ToMe,CLIP_B,
0,52.7,77.4,83.8,213.90000000000003,36.98,63.64,73.2,173.82,387.72,0.6095600676818952,10.496008704,101.13913133956112,dct,CLIP_B,
0,60.1,83.6,90.2,233.89999999999998,44.44,70.38,79.1,193.92,427.81999999999994,0.6903553299492384,11.913403392,99.15411640842446,dct,CLIP_B,
0,67.6,88.0,93.2,248.8,48.06,74.82,83.02,205.89999999999998,454.7,0.7791878172588832,13.48366848,95.97541816129232,dct,CLIP_B,
0,70.1,90.1,94.4,254.6,52.02,77.5,85.28,214.8,469.4,0.8887478849407786,15.439108608,90.78567706715032,dct,CLIP_B,
0,82.4,96.6,98.8,277.8,62.22,85.52,91.92,239.66000000000003,517.4599999999999,1.0,17.44745472,94.4618002231335,baseline,CLIP_B,
0,62.3,84.8,89.7,236.8,45.34,71.52,79.84,196.7,433.5,0.3962386511024645,31.483457536,76.13791152471981,PiToMe,CLIP_L,
0,76.5,94.5,97.5,268.5,56.58,83.1,89.14,228.82,497.31999999999994,0.48216601815823595,38.364659712,71.50108041655413,PiToMe,CLIP_L,
0,82.7,96.4,99.0,278.1,61.86,85.84,92.0,239.7,517.8000000000001,0.6047341115434501,48.25030656,65.03621901308473,PiToMe,CLIP_L,
0,84.2,97.6,99.0,280.8,64.7,86.84,92.44,243.98000000000002,524.78,0.7786964980544745,62.452144128,56.60771680550635,PiToMe,CLIP_L,
0,52.6,77.2,84.4,214.20000000000002,40.8,66.46,76.26,183.51999999999998,397.71999999999997,0.3962386511024645,31.483457536,77.31558509498953,ToMe,CLIP_L,
0,70.4,91.5,95.1,257.0,53.1,79.24,86.94,219.28,476.28000000000003,0.48216601815823595,38.364659712,71.46739148955602,ToMe,CLIP_L,
0,78.4,95.4,98.1,271.9,61.1,84.3,90.68,236.08,507.98,0.6047341115434501,48.25030656,64.4602352206959,ToMe,CLIP_L,
0,83.4,97.0,98.8,279.2,63.8,86.52,92.16,242.48,521.68,0.7786964980544745,62.452144128,57.75273835057549,ToMe,CLIP_L,
0,12.4,27.2,36.9,76.5,13.76,29.96,38.84,82.56,159.06,0.3962386511024645,31.483457536,73.46899882009703,dct,CLIP_L,
0,35.1,61.7,70.9,167.70000000000002,29.16,54.24,65.34,148.74,316.44000000000005,0.48216601815823595,38.364659712,67.74365018357861,dct,CLIP_L,
0,60.5,84.4,90.6,235.5,45.1,72.78,81.96,199.83999999999997,435.34,0.6047341115434501,48.25030656,60.76483708851594,dct,CLIP_L,
0,71.4,92.4,96.3,260.1,54.46,80.44,87.4,222.3,482.4,0.7786964980544745,62.452144128,52.51571350585218,dct,CLIP_L,
0,85.2,97.3,99.3,281.8,64.7,87.08,92.16,243.94,525.74,1.0,80.857841664,49.67392038882789,baseline,CLIP_L,
0,90.9,98.6,99.5,289.0,78.8,94.88,97.38,271.06,560.06,0.6022530329289426,32.017910784,68.70017775906304,PiToMe,BLIP,
0,92.1,99.6,100.0,291.7,81.04,95.64,97.94,274.62,566.3199999999999,0.6786539572501445,36.280856064,65.09026390683673,PiToMe,BLIP,
0,93.7,99.6,99.8,293.1,82.9,96.26,98.24,277.40000000000003,570.5,0.7700751010976317,41.487277056,61.18797932124575,PiToMe,BLIP,
0,94.8,99.5,99.9,294.20000000000005,83.5,96.48,98.22,278.20000000000005,572.4000000000001,0.8769497400346621,47.72971008,57.06769216706908,PiToMe,BLIP,
0,78.8,94.8,97.7,271.3,69.82,90.06,94.46,254.33999999999997,525.64,0.6022530329289426,32.017910784,68.99220436371863,ToMe,BLIP,
0,84.0,95.9,98.1,278.0,73.3,91.42,95.4,260.12,538.12,0.6786539572501445,36.280856064,65.49203744655092,ToMe,BLIP,
0,88.2,97.9,99.0,285.1,76.36,93.6,96.74,266.7,551.8000000000001,0.7700751010976317,41.487277056,61.48365279305678,ToMe,BLIP,
0,91.4,98.6,99.5,289.5,78.32,94.72,97.02,270.06,559.56,0.8769497400346621,47.72971008,57.50460260543326,ToMe,BLIP,
0,58.0,80.2,87.1,225.29999999999998,49.76,77.12,84.4,211.28,436.58000000000004,0.6022530329289426,32.017910784,64.80001659897276,dct,BLIP,
0,67.8,86.9,92.2,246.89999999999998,58.02,83.46,90.2,231.68,478.5799999999999,0.6786539572501445,36.280856064,61.344334887594066,dct,BLIP,
0,67.6,88.0,92.2,247.8,59.76,85.46,91.44,236.66,484.46,0.7700751010976317,41.487277056,57.345105573314676,dct,BLIP,
0,71.4,92.5,95.6,259.5,65.34,88.8,93.62,247.76,507.26000000000005,0.8769497400346621,47.72971008,52.845089837448995,dct,BLIP,
0,94.4,99.6,100.0,294.0,83.5,96.64,98.3,278.44,572.4399999999999,1.0,55.14384384,54.541527423986466,baseline,BLIP,
0,56.2,83.3,89.4,228.9,51.94,78.06,85.16,215.16,444.06000000000006,0.25800098473658295,168.93665536,31.633972263844075,PiToMe,BLIP2,0.0
0,79.5,96.4,98.8,274.7,74.42,93.24,96.32,263.98,538.6800000000001,0.3320834753626481,217.65246976,26.430519050460735,PiToMe,BLIP2,0.0
0,88.4,99.7,100.0,288.1,83.0,96.76,98.58,278.34,566.44,0.4516153467409006,296.93587968,20.756964803034837,PiToMe,BLIP2,0.0
0,90.1,99.5,100.0,289.6,85.82,97.62,98.96,282.4,572.0,0.6548877021550581,434.503587584,15.016603995327246,PiToMe,BLIP2,0.0
0,53.6,81.2,89.5,224.3,51.42,79.02,86.4,216.84,441.14,0.25800098473658295,168.93665536,31.829895397272352,ToMe,BLIP2,0.0
0,73.9,94.8,97.6,266.29999999999995,72.3,92.46,95.98,260.74,527.04,0.3320834753626481,217.65246976,26.57495234405898,ToMe,BLIP2,0.0
0,85.3,99.0,99.6,283.9,81.64,96.66,98.5,276.8,560.6999999999999,0.4516153467409006,296.93587968,20.836980824064224,ToMe,BLIP2,0.0
0,90.0,99.4,99.9,289.3,84.84,97.5,98.82,281.15999999999997,570.46,0.6548877021550581,434.503587584,15.079096730934543,ToMe,BLIP2,0.0
0,13.2,28.5,37.4,79.1,15.28,31.52,39.1,85.9,165.0,0.25800098473658295,168.93665536,28.84227660468491,dct,BLIP2,0.0
0,31.4,56.9,68.4,156.7,33.88,58.54,68.54,160.96,317.65999999999997,0.3320834753626481,217.65246976,23.793038935955302,dct,BLIP2,0.0
0,70.8,91.8,96.3,258.9,65.82,87.54,92.42,245.78000000000003,504.68,0.4516153467409006,296.93587968,18.49926964937198,dct,BLIP2,0.0
0,86.2,98.7,99.4,284.3,81.06,95.08,97.42,273.56,557.86,0.6548877021550581,434.503587584,13.267890951598341,dct,BLIP2,0.0
0,90.8,99.6,99.9,290.29999999999995,85.72,97.64,99.06,282.42,572.72,1.0,678.451488,10.243517207666226,baseline,BLIP2,0.0
