,test/r1_i2t,test/r5_i2t,test/r10_i2t,test/r_i2t,test/r1_t2i,test/r5_t2i,test/r10_t2i,test/r_t2i,test/r_all,eval memory,gflops,sample/sec,algo,use k,model,epoch
0,81.9,96.5,98.9,277.3,62.02,85.66,91.88,239.56,516.86,0.8883248730964471,15.431559168,84.75930596900116,PiToMe,True,CLIP_B,
0,80.8,96.1,98.4,275.29999999999995,61.08,85.24,91.74,238.06,513.3599999999999,0.7766497461928933,13.440534528,98.85931361772724,PiToMe,True,CLIP_B,
0,79.4,95.7,98.1,273.20000000000005,60.2,84.2,90.38,234.78,507.98,0.6928934010152283,11.963587584,101.89499536756344,PiToMe,True,CLIP_B,
0,74.4,91.8,96.4,262.6,55.56,80.84,87.74,224.14,486.74,0.6091370558375637,10.500630528,103.83062427413259,PiToMe,True,CLIP_B,
0,79.2,95.0,97.6,271.79999999999995,59.46,83.58,90.48,233.51999999999998,505.31999999999994,0.8883248730964471,15.431559168,95.67815198794023,ToMe,True,CLIP_B,
0,77.5,94.9,97.7,270.1,57.74,82.78,90.08,230.60000000000002,500.7,0.7766497461928933,13.440534528,100.3658133351277,ToMe,True,CLIP_B,
0,74.1,93.9,96.8,264.8,56.62,82.08,89.02,227.71999999999997,492.52,0.6928934010152283,11.963587584,103.37631305698301,ToMe,True,CLIP_B,
0,68.0,89.8,95.2,253.0,50.42,77.32,84.92,212.66,465.66,0.6091370558375637,10.500630528,104.3517055403331,ToMe,True,CLIP_B,
0,85.1,97.6,99.1,281.79999999999995,64.38,87.16,92.48,244.01999999999998,525.8199999999999,0.7762645914396891,62.262124544,57.06962251915657,PiToMe,True,CLIP_L,
0,81.7,96.4,98.6,276.70000000000005,60.24,84.52,90.8,235.56,512.26,0.5972762645914396,47.70435072,64.44423015807021,PiToMe,True,CLIP_L,
0,48.3,72.5,82.1,202.89999999999998,33.62,62.28,73.28,169.18,372.0799999999999,0.5084306095979247,40.582160384,69.94744315931402,PiToMe,True,CLIP_L,
0,9.3,20.6,26.6,56.5,13.46,29.32,38.38,81.16,137.66,0.46919584954604404,37.44948224,71.64939996866377,PiToMe,True,CLIP_L,
0,82.9,96.9,98.9,278.70000000000005,63.74,86.36,91.76,241.86,520.5600000000001,0.7762645914396891,62.262124544,56.43426195141319,ToMe,True,CLIP_L,
0,76.3,94.5,96.7,267.5,56.98,82.58,88.88,228.44,495.94,0.5972762645914396,47.70435072,65.12987958289773,ToMe,True,CLIP_L,
0,30.7,52.5,61.4,144.6,25.48,49.56,60.64,135.68,280.28,0.5084306095979247,40.582160384,70.27330346169283,ToMe,True,CLIP_L,
0,3.7,7.3,9.5,20.5,6.22,16.32,23.26,45.8,66.3,0.46919584954604404,37.44948224,72.67053037724205,ToMe,True,CLIP_L,
0,94.4,99.5,99.9,293.8,83.42,96.5,98.2,278.12,571.9200000000001,0.8665511265164645,47.118379008,57.09775788972834,PiToMe,True,BLIP,
0,93.4,99.5,99.9,292.8,82.68,96.26,98.2,277.14,569.94,0.7712305025996534,41.572435968,51.292858733086064,PiToMe,True,BLIP,
0,92.3,98.8,99.9,291.0,79.56,94.96,97.64,272.15999999999997,563.16,0.6663778162911613,35.65143552,51.24365594175018,PiToMe,True,BLIP,
0,89.0,98.5,99.3,286.8,76.52,93.58,96.94,267.03999999999996,553.8399999999999,0.6091854419410743,32.501074944,62.24165242488753,PiToMe,True,BLIP,
0,91.0,98.6,99.5,289.1,78.92,94.66,97.24,270.82,559.9200000000001,0.8665511265164645,47.118379008,56.75180949920172,ToMe,True,BLIP,
0,87.7,97.3,99.0,284.0,76.14,93.46,96.64,266.24,550.24,0.7712305025996534,41.572435968,47.997463024720496,ToMe,True,BLIP,
0,81.4,96.0,97.9,275.3,72.0,91.0,95.08,258.08,533.38,0.6663778162911613,35.65143552,51.649199239302085,ToMe,True,BLIP,
0,76.8,93.4,96.2,266.4,68.26,88.86,93.36,250.48000000000002,516.88,0.6091854419410743,32.501074944,53.612890958912864,ToMe,True,BLIP,
0,90.1,99.6,100.0,289.7,85.56,97.7,98.94,282.2,571.9,0.6632200886262927,440.722943232,11.38508385514918,PiToMe,True,BLIP2,0.0
0,59.2,84.3,90.1,233.6,52.66,76.96,84.2,213.82,447.41999999999996,0.49554974813468167,328.095218176,15.755390683957524,PiToMe,True,BLIP2,0.0
0,21.3,42.1,50.4,113.80000000000001,21.28,39.06,47.18,107.52000000000001,221.32000000000002,0.4704010907851382,311.44771328,16.02751066102809,PiToMe,True,BLIP2,0.0
0,89.1,99.3,99.7,288.09999999999997,84.62,97.3,98.94,280.86,568.96,0.6632200886262927,440.722943232,11.474184929111406,ToMe,True,BLIP2,0.0
0,51.2,82.3,90.6,224.1,51.0,77.18,84.56,212.74,436.84000000000003,0.49554974813468167,328.095218176,15.729681560526632,ToMe,True,BLIP2,0.0
0,5.9,13.4,18.0,37.3,8.24,16.48,20.76,45.480000000000004,82.78,0.4704010907851382,311.44771328,16.761195515236974,ToMe,True,BLIP2,0.0
0,76.4,92.5,96.0,264.9,57.64,81.42,88.1,227.16,492.05999999999995,0.6095600676818952,10.496008704,80.8250775138983,PiToMe,False,CLIP_B,
0,79.3,95.6,98.4,273.29999999999995,60.46,84.7,90.82,235.98,509.2799999999999,0.6903553299492384,11.913403392,86.03983252947101,PiToMe,False,CLIP_B,
0,81.5,96.6,98.3,276.4,61.4,85.34,91.38,238.12,514.52,0.7791878172588832,13.48366848,78.52557555880078,PiToMe,False,CLIP_B,
0,81.9,96.5,98.9,277.3,62.02,85.66,91.86,239.54000000000002,516.84,0.8887478849407786,15.439108608,78.94950334874852,PiToMe,False,CLIP_B,
0,69.7,90.8,94.7,255.2,53.32,78.86,85.74,217.92000000000002,473.12,0.6095600676818952,10.496008704,101.55635332289175,ToMe,False,CLIP_B,
0,74.9,94.3,96.9,266.1,57.08,82.86,89.44,229.38,495.48,0.6903553299492384,11.913403392,92.53953318270383,ToMe,False,CLIP_B,
0,76.9,95.3,97.4,269.6,58.56,83.62,90.1,232.28,501.88,0.7791878172588832,13.48366848,80.77835882366422,ToMe,False,CLIP_B,
0,79.5,95.1,97.6,272.2,59.56,83.64,90.58,233.77999999999997,505.97999999999996,0.8887478849407786,15.439108608,80.69591701520935,ToMe,False,CLIP_B,
0,62.3,84.7,89.7,236.7,45.3,71.5,79.84,196.64,433.34000000000003,0.3962386511024645,31.483457536,61.87649090660015,PiToMe,False,CLIP_L,
0,76.6,94.5,97.5,268.6,56.5,83.06,89.2,228.76,497.36,0.48216601815823595,38.364659712,62.36552849995471,PiToMe,False,CLIP_L,
0,82.9,96.4,99.0,278.3,61.78,85.84,91.98,239.60000000000002,517.9000000000001,0.6047341115434501,48.25030656,61.45198013554146,PiToMe,False,CLIP_L,
0,84.2,97.6,99.0,280.8,64.7,86.88,92.42,244.0,524.8,0.7786964980544745,62.452144128,44.779953017553986,PiToMe,False,CLIP_L,
0,52.6,77.2,84.3,214.10000000000002,40.84,66.48,76.3,183.62,397.72,0.3962386511024645,31.483457536,62.12048655506633,ToMe,False,CLIP_L,
0,70.6,91.6,95.2,257.4,53.16,79.14,86.88,219.18,476.5799999999999,0.48216601815823595,38.364659712,58.275707342380606,ToMe,False,CLIP_L,
0,78.6,95.4,98.0,272.0,60.98,84.24,90.62,235.84,507.84000000000003,0.6047341115434501,48.25030656,63.88755046335604,ToMe,False,CLIP_L,
0,83.4,96.9,98.8,279.1,63.64,86.52,92.12,242.28,521.38,0.7786964980544745,62.452144128,47.92252898631557,ToMe,False,CLIP_L,
0,90.9,98.6,99.5,289.0,78.82,94.88,97.38,271.08,560.0799999999999,0.6022530329289426,32.017910784,54.95128372826215,PiToMe,False,BLIP,
0,92.2,99.6,100.0,291.8,81.04,95.66,97.94,274.64,566.44,0.6786539572501445,36.280856064,51.90941579815765,PiToMe,False,BLIP,
0,93.7,99.6,99.8,293.1,82.9,96.26,98.24,277.40000000000003,570.5,0.7700751010976317,41.487277056,59.20964718097101,PiToMe,False,BLIP,
