model,ratio,dataset,algo,acc,eval time
llava-v1.5-7b,1.0,scienceqa_img,baseline,0.6955875061973228,110.60879278182983
llava-v1.5-7b,1.0,mme,baseline,1514.261204481793,156.17423820495605
llava-v1.5-7b,0.85,scienceqa_img,tome,0.6683192860684184,61.16893815994263
llava-v1.5-7b,0.875,scienceqa_img,tome,0.6732771442736738,61.596404790878296
llava-v1.5-7b,0.9,scienceqa_img,tome,0.6846465047099652,64.3371148109436
llava-v1.5-7b,0.925,scienceqa_img,tome,0.6901338621715419,166.78461694717407
llava-v1.5-7b,0.95,scienceqa_img,tome,0.6851760039662865,83.0999059677124
llava-v1.5-7b,0.975,scienceqa_img,tome,0.68368864650471,93.76980686187744
llava-v1.5-7b,0.85,scienceqa_img,pitome,0.6643529995042142,61.07024669647217
llava-v1.5-7b,0.875,scienceqa_img,pitome,0.6757560733763014,61.76018786430359
llava-v1.5-7b,0.9,scienceqa_img,pitome,0.6867476450173525,64.83479928970337
llava-v1.5-7b,0.925,scienceqa_img,pitome,0.6902181457610312,67.9415955543518
llava-v1.5-7b,0.95,scienceqa_img,pitome,0.6926296479920674,83.33491253852844
llava-v1.5-7b,0.975,scienceqa_img,pitome,0.6956717897868121,95.66283583641052
llava-v1.5-7b,0.85,mme,tome,1045.6354541816727,79.46682548522949
llava-v1.5-7b,0.875,mme,tome,1099.6900760304122,79.03646492958069
llava-v1.5-7b,0.9,mme,tome,1295.9490796318528,80.08259630203247
llava-v1.5-7b,0.925,mme,tome,1342.921168467387,86.82183408737183
llava-v1.5-7b,0.95,mme,tome,1412.622549019608,94.93200135231018
llava-v1.5-7b,0.975,mme,tome,1432.8633453381353,124.61658596992493
llava-v1.5-7b,0.85,mme,pitome,1072.6005402160863,79.95720553398132
llava-v1.5-7b,0.875,mme,pitome,1178.282112845138,80.46004891395569
llava-v1.5-7b,0.9,mme,pitome,1330.845738295318,80.330641746521
llava-v1.5-7b,0.925,mme,pitome,1404.2288915566228,88.08924651145935
llava-v1.5-7b,0.95,mme,pitome,1452.7688075230092,95.7851185798645
llava-v1.5-7b,0.975,mme,pitome,1490.1272509003602,125.88790678977966
llava-v1.5-7b,0.85,scienceqa_img,tome,0.6663361427863164,61.71043610572815
llava-v1.5-7b,0.875,scienceqa_img,tome,0.6732771442736738,61.84396195411682
llava-v1.5-7b,0.9,scienceqa_img,tome,0.6767476450173525,64.51955533027649
llava-v1.5-7b,0.925,scienceqa_img,tome,0.6841844323252355,68.7541446685791
llava-v1.5-7b,0.95,scienceqa_img,tome,0.6841844323252355,82.68304061889648
llava-v1.5-7b,0.975,scienceqa_img,tome,0.6856717897868121,93.88301086425781
llava-v1.5-7b,0.85,scienceqa_img,pitome,0.6737729300941993,62.0611732006073
llava-v1.5-7b,0.875,scienceqa_img,pitome,0.6732771442736738,61.94758605957031
llava-v1.5-7b,0.9,scienceqa_img,pitome,0.6822012890431334,64.98944211006165
llava-v1.5-7b,0.925,scienceqa_img,pitome,0.6861675756073377,67.98534059524536
llava-v1.5-7b,0.95,scienceqa_img,pitome,0.6901507188894398,83.03439092636108
llava-v1.5-7b,0.85,mme,tome,1024.7549019607843,79.29650950431824
llava-v1.5-7b,0.875,mme,tome,1200.7549019607843,79.29650950431824
llava-v1.5-7b,0.9,mme,tome,1261.9465786314524,79.76387238502502
llava-v1.5-7b,0.925,mme,tome,1356.5263105242097,86.47539854049683
llava-v1.5-7b,0.95,mme,tome,1406.0406162464988,95.02905488014221
llava-v1.5-7b,0.975,mme,tome,1423.0725290116047,124.71235466003418
llava-v1.5-7b,0.85,mme,pitome,1060.875950380152,80.63938975334167
llava-v1.5-7b,0.875,mme,pitome,1208.703681472589,80.58484601974487
llava-v1.5-7b,0.9,mme,pitome,1310.6317527010806,81.83428835868835
llava-v1.5-7b,0.925,mme,pitome,1417.9601840736295,87.5608298778534
llava-v1.5-7b,0.95,mme,pitome,1445.8006202480992,95.99949169158936
llava-v1.5-7b,0.975,mme,pitome,1484.2334933973589,125.55709671974182
llava-v1.5-7b,0.85,scienceqa_img,tome,0.6658403569657908,61.00971531867981
llava-v1.5-7b,0.875,scienceqa_img,tome,0.6722012890431334,61.41658306121826
llava-v1.5-7b,0.9,scienceqa_img,tome,0.6831928606841844,65.05194187164307
llava-v1.5-7b,0.925,scienceqa_img,tome,0.6822012890431334,67.29958915710449
llava-v1.5-7b,0.95,scienceqa_img,tome,0.6797223599405057,82.55172538757324
llava-v1.5-7b,0.975,scienceqa_img,tome,0.6861675756073377,93.66922426223755
llava-v1.5-7b,0.85,scienceqa_img,pitome,0.6673277144273674,61.05292630195618
llava-v1.5-7b,0.875,scienceqa_img,pitome,0.6712940009915717,62.033202171325684
llava-v1.5-7b,0.9,scienceqa_img,pitome,0.6846802181457611,64.93211936950684
llava-v1.5-7b,0.925,scienceqa_img,pitome,0.6871591472483887,67.81007051467896
llava-v1.5-7b,0.95,scienceqa_img,pitome,0.6906296479920674,83.33097195625305
llava-v1.5-7b,0.975,scienceqa_img,pitome,0.6866633614278632,94.26681208610535
llava-v1.5-7b,0.85,mme,tome,1023.1057422969187,80.05416703224182
llava-v1.5-7b,0.875,mme,tome,1165.7401960784314,80.47290229797363
llava-v1.5-7b,0.9,mme,tome,1287.6618647458984,79.9308443069458
