model, algo, gflops, ratio ,acc_1
DEIT-S-16-224, tome, 2.694444288, 0.9, 78.76
DEIT-S-16-224, pitome, 2.694444288, 0.9, 79.07
DEIT-S-16-224, dct, 2.69819519999999, 0.9, 77.41
DEIT-S-16-224, none, 4.540695551999991, 1.0, 79.80
DEIT-S-16-224, pitome, 3.05725286400001, 0.925, 79.26
DEIT-S-16-224, tome, 3.055348991999988, 0.925, 78.91
DEIT-S-16-224, tofu, 3.055348991999988, 0.925, 78.97
DEIT-S-16-224, pitome, 3.0572528640000147, 0.925, 79.02
DEIT-S-16-224, dct, 0.0, 0.925, 77.67
DEIT-S-16-224, tome, 3.055348991999988, 0.925, 78.89
DEIT-S-16-224, tofu, 3.055348991999988, 0.925, 78.90
DEIT-S-16-224, pitome, 3.0572528640000147, 0.925, 79.20
DEIT-S-16-224, none, 4.540695551999989, 1.0, 79.70
DEIT-S-16-224, tome, 3.0553489919999977, 0.925, 79.16
DEIT-S-16-224, tofu, 3.0553489919999977, 0.925, 79.13
DEIT-S-16-224, pitome, 3.05725286400001, 0.925, 79.43
DEIT-S-16-224, none, 4.540695551999991, 1.0, 79.93
DEIT-S-16-224, dct, 2.840792831999993, 0.925, 77.89
