dataset,model,algo,gflops,ratio,txt_r1,txt_r5,txt_r10,img_r1,img_r5,img_r10,r_sum,train time,eval time
flickr,ALBEF,pitome,41.60941535232,0.925,95.7,99.7,99.9,83.64,96.66,98.12,573.72,2654.561614513397,43.30601096153259
flickr,ALBEF,tome,41.58717437952001,0.925,94.0,99.6,99.9,83.42,96.94,98.38,572.24,2631.9932296276093,42.861454486846924
flickr,ALBEF,tofu,41.58717437952001,0.925,94.7,99.2,99.6,83.3,96.66,98.2,571.6600000000001,2637.261039495468,42.695119857788086
flickr,ALBEF,dct,41.68336300032,0.925,90.6,98.9,99.5,77.54,93.98,96.52,557.0400000000001,3097.5668313503265,43.95115065574646
flickr,ALBEF,pitome,41.60941535232,0.925,75.92,93.18,96.4,59.68812475009996,83.09876049580168,89.62415033986406,498.1110355857657,10301.086176872253,211.5550036430359
flickr,ALBEF,tome,41.58717437952001,0.925,75.74,92.88,96.38,59.27229108356657,82.83086765293882,89.16433426629348,496.2674930027989,9950.428135871887,208.53205561637878
flickr,ALBEF,tofu,41.58717437952001,0.925,75.28,92.9,96.16,59.35225909636146,82.74290283886445,89.10835665733707,495.54351859256303,9986.654108762741,209.34024167060852
flickr,ALBEF,dct,41.68336300032,0.925,73.6,91.94,95.48,56.79328268692523,81.59136345461815,88.00879648140744,487.4134426229508,11900.054417610168,215.50636339187622
flickr,ALBEF,none,65.54411016192,1.0,94.9,99.3,99.8,85.32,97.2,98.48,575.0,4239.8642337322235,66.36461591720581
flickr,ALBEF,none,65.54411016192,1.0,76.94,93.24,96.46,60.24390243902439,83.66653338664534,89.89604158336665,500.4464774090364,16162.156953573227,324.5453016757965
