dataset,model,algo,gflops,ratio,txt_r1,txt_r5,txt_r10,img_r1,img_r5,img_r10,r_sum,train time,eval time
flickr,BLIP,pitome,41.60941535232,0.925,96.5,99.6,99.9,85.9,97.02,98.44,578.3599999999999,2621.7531774044037,46.472211837768555
flickr,BLIP,tome,41.58717437952001,0.925,95.5,99.5,99.8,85.02,97.24,98.38,575.44,2582.501916408539,46.55039048194885
flickr,BLIP,tofu,41.58717437952001,0.925,96.5,99.9,100.0,85.56,97.0,98.48,577.4399999999999,2561.9486227035522,46.925774574279785
flickr,BLIP,dct,41.68336300032,0.925,93.1,99.0,99.6,81.92,95.58,97.72,566.92,2991.8152639865875,48.158018589019775
coco,BLIP,pitome,41.60941535232,0.925,78.96,93.22,96.24,61.91523390643742,84.45421831267493,89.88004798080767,504.66950019992004,6258.857276678085,228.11911797523499
coco,BLIP,tome,41.58717437952001,0.925,77.74,93.06,96.06,61.067572970811675,83.91443422630948,89.68812475009996,501.53013194722115,5448.887421369553,225.93891549110413
coco,BLIP,tofu,41.58717437952001,0.925,77.68,92.82,95.68,60.83566573370652,83.53058776489404,89.50419832067173,500.0504518192723,5455.65721321106,226.27895832061768
coco,BLIP,dct,41.68336300032,0.925,76.1,92.58,95.7,59.03638544582167,82.45501799280288,88.70051979208317,494.57192323070774,6254.205078601837,231.49650239944458
flickr,BLIP,pitome,48.12842176512,0.95,96.0,99.9,99.9,86.0,97.22,98.58,577.6,2879.553875684738,82.21366763114929
flickr,BLIP,tome,48.35886600192,0.95,95.5,99.7,99.9,85.56,97.26,98.64,576.5600000000001,2841.3278572559357,83.66543960571289
flickr,BLIP,tofu,48.35886600192,0.95,95.8,99.8,99.9,85.6,97.16,98.66,576.92,2847.2538039684296,84.12678122520447
flickr,BLIP,dct,48.12842176512,0.95,92.5,99.0,99.5,81.44,95.46,97.74,565.64,3306.8887259960175,83.25405073165894
coco,BLIP,pitome,48.12842176512,0.95,77.2,92.64,95.8,60.95961615353858,83.90643742502999,89.7001199520192,500.20617353058776,10166.160333633423,403.45185375213623
coco,BLIP,tome,48.35886600192,0.95,76.18,92.54,95.62,60.151939224310276,83.07077169132347,89.10835665733707,496.6710675729709,9989.5169069767,411.69265818595886
coco,BLIP,tofu,48.35886600192,0.95,77.18,92.7,95.98,60.363854458216714,83.33466613354658,89.31227508996402,498.8707956817274,10001.50784111023,413.64192962646484
coco,BLIP,dct,48.12842176512,0.95,73.66,90.96,95.02,57.165133946421435,81.37544982007198,88.1327469012395,486.3133306677329,11611.840209245682,410.9890470504761
