dataset, model, algo, gflops, ratio ,acc
sst2, bert-base-uncased, none, 4.618501632, 1.0, 92.31520432692308
sst2, bert-base-uncased, pitome, 2.6510238719999997, 0.8, 91.72926682692308
sst2, bert-base-uncased, pitome, 2.239083264, 0.75, 91.2860576923077
sst2, bert-base-uncased, pitome, 1.8923013119999998, 0.7, 89.571874
sst2, bert-base-uncased, tome, 2.59367424, 0.8, 91.24849759615384
sst2, bert-base-uncased, tofu, 2.59367424, 0.8, 89.83623798076923
sst2, bert-base-uncased, tome, 2.181864192, 0.75, 90.12920673076923
sst2, bert-base-uncased, tofu, 2.181864192, 0.75, 89.68599759615384
sst2, bert-base-uncased, tome, 1.8351782399999998, 0.7, 88.0859375
sst2, bert-base-uncased, tofu, 1.8351782399999998, 0.7, 88.22866586538461
sst2, bert-base-uncased, diffrate, 2.59367424, 0.8, 89.78365384615384
sst2, bert-base-uncased, diffrate, 2.181864192, 0.75, 88.96484375
sst2, bert-base-uncased, diffrate, 1.8351782399999998, 0.7, 87.64272836538461
sst2, bert-base-uncased, dct, 2.6510238719999997, 0.8, 88.66436298076923
sst2, bert-base-uncased, dct, 2.239083264, 0.75, 90.31700721153845
sst2, bert-base-uncased, dct, 1.8923013119999998, 0.7, 88.76201923076923
